fold,regime,ablation,auc,macro_f1,recall_0,accuracy
0,unseen_reader,combined_full,0.4782353892167165,0.4551856594110115,0.0,0.8354876615746181
0,unseen_reader,no_regression,0.477305795812788,0.4621704586493319,0.007194244604316547,0.8354876615746181
0,unseen_reader,no_first_fixation,0.48659667771400855,0.45553422904670504,0.0,0.836662749706228
0,unseen_reader,no_paragraph_rt,0.4503930563414437,0.4625694567494014,0.007194244604316547,0.836662749706228
0,unseen_reader,no_late,0.48212048338857005,0.45553422904670504,0.0,0.836662749706228
0,unseen_reader,no_early,0.4848587422197074,0.4548366431774504,0.0,0.8343125734430082
0,unseen_text,combined_full,0.5667489035087719,0.4578313253012048,0.0,0.8444444444444444
0,unseen_text,no_regression,0.5392680921052632,0.4633642930856553,0.005952380952380952,0.8435185185185186
0,unseen_text,no_first_fixation,0.6028809001670843,0.4578313253012048,0.0,0.8444444444444444
0,unseen_text,no_paragraph_rt,0.5694281276106934,0.457286432160804,0.0,0.8425925925925926
0,unseen_text,no_late,0.5667554302422724,0.45701357466063347,0.0,0.8416666666666667
0,unseen_text,no_early,0.5567434210526315,0.4575590155700653,0.0,0.8435185185185186
0,unseen_both,combined_full,0.4478314238952537,0.4392523364485981,0.0,0.7833333333333333
0,unseen_both,no_regression,0.3905482815057283,0.4392523364485981,0.0,0.7833333333333333
0,unseen_both,no_first_fixation,0.39361702127659576,0.4392523364485981,0.0,0.7833333333333333
0,unseen_both,no_paragraph_rt,0.3733633387888707,0.4392523364485981,0.0,0.7833333333333333
0,unseen_both,no_late,0.4639934533551554,0.4392523364485981,0.0,0.7833333333333333
0,unseen_both,no_early,0.35945171849427165,0.4392523364485981,0.0,0.7833333333333333
1,unseen_reader,combined_full,0.45005523526771846,0.4468629961587708,0.0,0.8078703703703703
1,unseen_reader,no_regression,0.4580211965339869,0.44650864830237025,0.0,0.8067129629629629
1,unseen_reader,no_first_fixation,0.5090361445783133,0.4468629961587708,0.0,0.8078703703703703
1,unseen_reader,no_paragraph_rt,0.4579478371940484,0.4468629961587708,0.0,0.8078703703703703
1,unseen_reader,no_late,0.4556995891876964,0.44650864830237025,0.0,0.8067129629629629
1,unseen_reader,no_early,0.48198380916215,0.4461538461538462,0.0,0.8055555555555556
1,unseen_text,combined_full,0.45096261371535645,0.45388076490438695,0.0,0.831101956745623
1,unseen_text,no_regression,0.4784847523196421,0.45388076490438695,0.0,0.831101956745623
1,unseen_text,no_first_fixation,0.49500559131985367,0.4535734383792909,0.0,0.8300720906282183
1,unseen_text,no_paragraph_rt,0.4366896364130928,0.4535734383792909,0.0,0.8300720906282183
1,unseen_text,no_late,0.49309018647807296,0.4535734383792909,0.0,0.8300720906282183
1,unseen_text,no_early,0.47693202768458914,0.45388076490438695,0.0,0.831101956745623
1,unseen_both,combined_full,0.5125506072874494,0.5417256011315417,0.07692307692307693,0.8888888888888888
1,unseen_both,no_regression,0.662753036437247,0.5417256011315417,0.07692307692307693,0.8888888888888888
1,unseen_both,no_first_fixation,0.5497975708502024,0.46798029556650245,0.0,0.8796296296296297
1,unseen_both,no_paragraph_rt,0.46639676113360323,0.46798029556650245,0.0,0.8796296296296297
1,unseen_both,no_late,0.6372469635627531,0.46798029556650245,0.0,0.8796296296296297
1,unseen_both,no_early,0.5161943319838057,0.46798029556650245,0.0,0.8796296296296297
2,unseen_reader,combined_full,0.5154136097462476,0.4477144646211647,0.0,0.8106575963718821
2,unseen_reader,no_regression,0.4926423571380494,0.44806007509386736,0.0,0.8117913832199547
2,unseen_reader,no_first_fixation,0.5257580601736556,0.4473684210526316,0.0,0.8095238095238095
2,unseen_reader,no_paragraph_rt,0.5107609207780843,0.4477144646211647,0.0,0.8106575963718821
2,unseen_reader,no_late,0.48828414215521304,0.4531847368809506,0.006024096385542169,0.8095238095238095
2,unseen_reader,no_early,0.4916159049606247,0.44597989949748745,0.0,0.8049886621315193
2,unseen_text,combined_full,0.5431759719996626,0.4515910629654705,0.0,0.8234567901234567
2,unseen_text,no_regression,0.5341623091844481,0.4515910629654705,0.0,0.8234567901234567
2,unseen_text,no_first_fixation,0.5324439149869276,0.4515910629654705,0.0,0.8234567901234567
2,unseen_text,no_paragraph_rt,0.5636807371173147,0.4515910629654705,0.0,0.8234567901234567
2,unseen_text,no_late,0.5525480728683478,0.45084745762711864,0.0,0.8209876543209876
2,unseen_text,no_early,0.5552521717129122,0.4519621109607578,0.0,0.8246913580246914
2,unseen_both,combined_full,0.5320216049382717,0.4444444444444444,0.0,0.8
2,unseen_both,no_regression,0.5030864197530864,0.4444444444444444,0.0,0.8
2,unseen_both,no_first_fixation,0.4810956790123457,0.4409937888198758,0.0,0.7888888888888889
2,unseen_both,no_paragraph_rt,0.45601851851851855,0.4444444444444444,0.0,0.8
2,unseen_both,no_late,0.4799382716049383,0.4409937888198758,0.0,0.7888888888888889
2,unseen_both,no_early,0.4996141975308642,0.4375,0.0,0.7777777777777778
3,unseen_reader,combined_full,0.49657635041551246,0.4558538949966087,0.00625,0.8174603174603174
3,unseen_reader,no_regression,0.49853704986149583,0.45012468827930174,0.0,0.81859410430839
3,unseen_reader,no_first_fixation,0.489819944598338,0.4566166698310234,0.00625,0.8197278911564626
3,unseen_reader,no_paragraph_rt,0.5281812673130193,0.4566166698310234,0.00625,0.8197278911564626
3,unseen_reader,no_late,0.4851887119113574,0.4543286626496537,0.00625,0.8129251700680272
3,unseen_reader,no_early,0.4711045706371191,0.45012468827930174,0.0,0.81859410430839
3,unseen_text,combined_full,0.471339275844396,0.4482288828337875,0.0,0.8123456790123457
3,unseen_text,no_regression,0.5041654523711423,0.4482288828337875,0.0,0.8123456790123457
3,unseen_text,no_first_fixation,0.46842999125707224,0.4486044928522805,0.0,0.8135802469135802
3,unseen_text,no_paragraph_rt,0.5053663487724729,0.4482288828337875,0.0,0.8123456790123457
3,unseen_text,no_late,0.5011858223879248,0.44747612551159616,0.0,0.8098765432098766
3,unseen_text,no_early,0.4779768664140932,0.4486044928522805,0.0,0.8135802469135802
3,unseen_both,combined_full,0.5604444444444444,0.45454545454545453,0.0,0.8333333333333334
3,unseen_both,no_regression,0.5506666666666666,0.45454545454545453,0.0,0.8333333333333334
3,unseen_both,no_first_fixation,0.47022222222222226,0.45454545454545453,0.0,0.8333333333333334
3,unseen_both,no_paragraph_rt,0.5631111111111111,0.45454545454545453,0.0,0.8333333333333334
3,unseen_both,no_late,0.424,0.45454545454545453,0.0,0.8333333333333334
3,unseen_both,no_early,0.5493333333333333,0.45454545454545453,0.0,0.8333333333333334
4,unseen_reader,combined_full,0.511718487394958,0.445859872611465,0.0,0.8045977011494253
4,unseen_reader,no_regression,0.4583361344537815,0.44550669216061184,0.0,0.803448275862069
4,unseen_reader,no_first_fixation,0.5105840336134453,0.445859872611465,0.0,0.8045977011494253
4,unseen_reader,no_paragraph_rt,0.5002605042016808,0.445859872611465,0.0,0.8045977011494253
4,unseen_reader,no_late,0.4946008403361345,0.445859872611465,0.0,0.8045977011494253
4,unseen_reader,no_early,0.47838655462184876,0.445859872611465,0.0,0.8045977011494253
4,unseen_text,combined_full,0.5418470886864843,0.43597841528611425,0.004524886877828055,0.7592592592592593
4,unseen_text,no_regression,0.5335698565928966,0.4363508489902542,0.004524886877828055,0.7603485838779956
4,unseen_text,no_first_fixation,0.5469627427176587,0.44108268302108156,0.00904977375565611,0.761437908496732
4,unseen_text,no_paragraph_rt,0.5301583385809904,0.4363508489902542,0.004524886877828055,0.7603485838779956
4,unseen_text,no_late,0.5479332887552991,0.4363508489902542,0.004524886877828055,0.7603485838779956
4,unseen_text,no_early,0.5535812824191592,0.44108268302108156,0.00904977375565611,0.761437908496732
4,unseen_both,combined_full,0.4933226495726496,0.43333333333333335,0.0,0.7647058823529411
4,unseen_both,no_regression,0.5016025641025641,0.43333333333333335,0.0,0.7647058823529411
4,unseen_both,no_first_fixation,0.4412393162393163,0.43333333333333335,0.0,0.7647058823529411
4,unseen_both,no_paragraph_rt,0.46207264957264954,0.43333333333333335,0.0,0.7647058823529411
4,unseen_both,no_late,0.6036324786324787,0.43333333333333335,0.0,0.7647058823529411
4,unseen_both,no_early,0.45138888888888884,0.43333333333333335,0.0,0.7647058823529411
5,unseen_reader,combined_full,0.5307389162561577,0.4480840543881335,0.0,0.8118701007838746
5,unseen_reader,no_regression,0.5008990147783251,0.4480840543881335,0.0,0.8118701007838746
5,unseen_reader,no_first_fixation,0.5380172413793103,0.4480840543881335,0.0,0.8118701007838746
5,unseen_reader,no_paragraph_rt,0.5129351395730706,0.4480840543881335,0.0,0.8118701007838746
5,unseen_reader,no_late,0.49397372742200324,0.4480840543881335,0.0,0.8118701007838746
5,unseen_reader,no_early,0.5330008210180623,0.44774273345701915,0.0,0.8107502799552072
5,unseen_text,combined_full,0.4509948467360321,0.4519906323185012,0.0,0.8247863247863247
5,unseen_text,no_regression,0.48914585000772287,0.4515625,0.0,0.8233618233618234
5,unseen_text,no_first_fixation,0.46818877515200025,0.4519906323185012,0.0,0.8247863247863247
5,unseen_text,no_paragraph_rt,0.47518148756617096,0.4519906323185012,0.0,0.8247863247863247
5,unseen_text,no_late,0.5019658227670359,0.4519906323185012,0.0,0.8247863247863247
5,unseen_text,no_early,0.4633725093727621,0.4519906323185012,0.0,0.8247863247863247
5,unseen_both,combined_full,0.4362068965517242,0.4264705882352941,0.0,0.7435897435897436
5,unseen_both,no_regression,0.5258620689655172,0.4264705882352941,0.0,0.7435897435897436
5,unseen_both,no_first_fixation,0.6081896551724139,0.4264705882352941,0.0,0.7435897435897436
5,unseen_both,no_paragraph_rt,0.5176724137931035,0.4264705882352941,0.0,0.7435897435897436
5,unseen_both,no_late,0.5133620689655173,0.4264705882352941,0.0,0.7435897435897436
5,unseen_both,no_early,0.5728448275862069,0.4264705882352941,0.0,0.7435897435897436
6,unseen_reader,combined_full,0.5387286728068851,0.44353312302839115,0.0,0.7970521541950113
6,unseen_reader,no_regression,0.5318189403752474,0.4431818181818182,0.0,0.7959183673469388
6,unseen_reader,no_first_fixation,0.5573281308359226,0.44936868686868686,0.00558659217877095,0.7981859410430839
6,unseen_reader,no_paragraph_rt,0.5316123238793042,0.4431818181818182,0.0,0.7959183673469388
6,unseen_reader,no_late,0.5159571509174566,0.44353312302839115,0.0,0.7970521541950113
6,unseen_reader,no_early,0.5085348506401138,0.44353312302839115,0.0,0.7970521541950113
6,unseen_text,combined_full,0.4820786831150852,0.44406314344543585,0.0,0.7987654320987654
6,unseen_text,no_regression,0.5039208807047155,0.44406314344543585,0.0,0.7987654320987654
6,unseen_text,no_first_fixation,0.5017589440646305,0.44329896907216493,0.0,0.7962962962962963
6,unseen_text,no_paragraph_rt,0.5020576326793792,0.44406314344543585,0.0,0.7987654320987654
6,unseen_text,no_late,0.513483657465793,0.44406314344543585,0.0,0.7987654320987654
6,unseen_text,no_early,0.5515830496581675,0.44368131868131866,0.0,0.7975308641975308
6,unseen_both,combined_full,0.5828571428571429,0.4375,0.0,0.7777777777777778
6,unseen_both,no_regression,0.5825,0.4375,0.0,0.7777777777777778
6,unseen_both,no_first_fixation,0.6492857142857144,0.4375,0.0,0.7777777777777778
6,unseen_both,no_paragraph_rt,0.5989285714285715,0.4375,0.0,0.7777777777777778
6,unseen_both,no_late,0.5482142857142858,0.4375,0.0,0.7777777777777778
6,unseen_both,no_early,0.5342857142857143,0.4375,0.0,0.7777777777777778
7,unseen_reader,combined_full,0.5508208839091192,0.44402985074626866,0.0,0.7986577181208053
7,unseen_reader,no_regression,0.5329948646125118,0.44368388301182327,0.0,0.7975391498881432
7,unseen_reader,no_first_fixation,0.514620292561469,0.44402985074626866,0.0,0.7986577181208053
7,unseen_reader,no_paragraph_rt,0.5382858699035169,0.44945465493410697,0.005555555555555556,0.7986577181208053
7,unseen_reader,no_late,0.5262799564270153,0.44368388301182327,0.0,0.7975391498881432
7,unseen_reader,no_early,0.517985527544351,0.44402985074626866,0.0,0.7986577181208053
7,unseen_text,combined_full,0.5233612190728979,0.4384,0.0,0.7806267806267806
7,unseen_text,no_regression,0.5351218124940753,0.4375,0.0,0.7777777777777778
7,unseen_text,no_first_fixation,0.4986313868613138,0.4384,0.0,0.7806267806267806
7,unseen_text,no_paragraph_rt,0.5286105318039626,0.4379503602882306,0.0,0.7792022792022792
7,unseen_text,no_late,0.5445125130344108,0.4375,0.0,0.7777777777777778
7,unseen_text,no_early,0.487581761304389,0.4452026137038663,0.006493506493506494,0.782051282051282
7,unseen_both,combined_full,0.4388888888888889,0.43478260869565216,0.0,0.7692307692307693
7,unseen_both,no_regression,0.4657407407407408,0.43478260869565216,0.0,0.7692307692307693
7,unseen_both,no_first_fixation,0.3819444444444444,0.43478260869565216,0.0,0.7692307692307693
7,unseen_both,no_paragraph_rt,0.47638888888888886,0.43478260869565216,0.0,0.7692307692307693
7,unseen_both,no_late,0.3472222222222222,0.43478260869565216,0.0,0.7692307692307693
7,unseen_both,no_early,0.462037037037037,0.43478260869565216,0.0,0.7692307692307693
8,unseen_reader,combined_full,0.5244302536762553,0.44662034112444726,0.0,0.8070776255707762
8,unseen_reader,no_regression,0.5436672999506206,0.44662034112444726,0.0,0.8070776255707762
8,unseen_reader,no_first_fixation,0.49861905040884474,0.44662034112444726,0.0,0.8070776255707762
8,unseen_reader,no_paragraph_rt,0.5353020931848045,0.44662034112444726,0.0,0.8070776255707762
8,unseen_reader,no_late,0.5246938895072939,0.44662034112444726,0.0,0.8070776255707762
8,unseen_reader,no_early,0.5271628599884502,0.44662034112444726,0.0,0.8070776255707762
8,unseen_text,combined_full,0.48783801696712625,0.4318630678077683,0.0,0.7601390498261877
8,unseen_text,no_regression,0.5454076823376929,0.4318630678077683,0.0,0.7601390498261877
8,unseen_text,no_first_fixation,0.5068266171792153,0.43148880105401843,0.0,0.7589803012746235
8,unseen_text,no_paragraph_rt,0.5000478673264993,0.43148880105401843,0.0,0.7589803012746235
8,unseen_text,no_late,0.4987517674089784,0.4369552548900375,0.004830917874396135,0.761297798377752
8,unseen_text,no_early,0.4940828620242724,0.4318630678077683,0.0,0.7601390498261877
8,unseen_both,combined_full,0.4829118250170882,0.44508670520231214,0.0,0.8020833333333334
8,unseen_both,no_regression,0.43267259056732743,0.44508670520231214,0.0,0.8020833333333334
8,unseen_both,no_first_fixation,0.31749829118250167,0.44508670520231214,0.0,0.8020833333333334
8,unseen_both,no_paragraph_rt,0.33663704716336296,0.44508670520231214,0.0,0.8020833333333334
8,unseen_both,no_late,0.4647983595352016,0.44508670520231214,0.0,0.8020833333333334
8,unseen_both,no_early,0.4576213260423787,0.44508670520231214,0.0,0.8020833333333334
9,unseen_reader,combined_full,0.49232544141252005,0.45524296675191817,0.0,0.8356807511737089
9,unseen_reader,no_regression,0.5408657704654896,0.45524296675191817,0.0,0.8356807511737089
9,unseen_reader,no_first_fixation,0.49695525682182984,0.45524296675191817,0.0,0.8356807511737089
9,unseen_reader,no_paragraph_rt,0.5187600321027287,0.45524296675191817,0.0,0.8356807511737089
9,unseen_reader,no_late,0.5260583868378812,0.45489443378119004,0.0,0.8345070422535211
9,unseen_reader,no_early,0.48791131621187805,0.45454545454545453,0.0,0.8333333333333334
9,unseen_text,combined_full,0.5220463853276354,0.4637537239324727,0.0,0.8648148148148148
9,unseen_text,no_regression,0.510056831671415,0.4642857142857143,0.0,0.8666666666666667
9,unseen_text,no_first_fixation,0.5167749881291548,0.46322067594433397,0.0,0.8629629629629629
9,unseen_text,no_paragraph_rt,0.5272695572174739,0.4642857142857143,0.0,0.8666666666666667
9,unseen_text,no_late,0.5004266084995251,0.4637537239324727,0.0,0.8648148148148148
9,unseen_text,no_early,0.5299442070275404,0.4698507462686567,0.006944444444444444,0.8629629629629629
9,unseen_both,combined_full,0.49373638344226584,0.4594594594594595,0.0,0.85
9,unseen_both,no_regression,0.4950980392156863,0.4594594594594595,0.0,0.85
9,unseen_both,no_first_fixation,0.4515250544662309,0.45701357466063347,0.0,0.8416666666666667
9,unseen_both,no_paragraph_rt,0.4278322440087146,0.4594594594594595,0.0,0.85
9,unseen_both,no_late,0.4550653594771242,0.4594594594594595,0.0,0.85
9,unseen_both,no_early,0.4885620915032679,0.45701357466063347,0.0,0.8416666666666667
